Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-06-20,218.30563042825452,219.81682135858608,216.66930370639187,219.00828552246094,2377800,0.0,0.0
2024-06-21,219.1526737563025,221.48205020691304,218.06500573369212,220.02859497070312,3627300,0.0,0.0
2024-06-24,220.19224303124187,221.39542676265617,219.2200758636876,219.8361053466797,3463000,0.0,0.0
2024-06-25,218.30562157126118,218.55587845687057,208.85340475511464,209.11329650878906,3892000,0.0,0.0
2024-06-26,208.3529276759237,210.9518016084462,207.7850137901339,210.58602905273438,2601200,0.0,0.0
2024-06-27,211.3271580938648,212.06832326060334,209.91221308795437,211.5677947998047,2654600,0.0,0.0
2024-06-28,211.92394765857804,213.26188725228815,210.19136031380597,212.20309448242188,12630400,0.0,0.0
2024-07-01,211.2212885009948,212.24158583804876,205.48450266627106,205.56150817871094,2569200,0.0,0.0
2024-07-02,204.72409151556346,206.8031962328501,203.86742540806563,205.69625854492188,2173700,0.0,0.0
2024-07-03,207.7465066070521,208.87268475778623,205.07062730449402,205.31126403808594,1423500,0.0,0.0
2024-07-05,204.72409707873368,206.79356698390146,204.57008605386824,205.879150390625,1907400,0.0,0.0
2024-07-08,206.94757420029958,210.1239817650199,206.74543289797126,209.0170440673828,2947500,0.0,0.0
2024-07-09,207.88123524726075,209.0555435277138,207.14970496078945,208.22775268554688,2571700,0.0,0.0
2024-07-10,209.42132348783016,212.63622641552658,208.7667839977996,212.47259521484375,2007000,0.0,0.0
2024-07-11,217.1601682116822,221.36649271930742,215.16768943188234,221.14511108398438,3006900,0.0,0.0
2024-07-12,222.4638278257294,229.1439054514334,221.71304244234534,225.31297302246094,3180600,0.0,0.0
2024-07-15,225.23598045755074,226.2851530808838,221.99220202012816,223.47451782226562,2074600,0.0,0.0
2024-07-16,224.10016481376323,231.9834111830979,223.4071299063251,231.94491577148438,2356500,0.0,0.0
2024-07-17,230.48183829315298,236.4303854118816,228.83589141883675,233.9373779296875,3958800,0.0,0.0
2024-07-18,232.88824979633432,237.720239975006,228.99956627716205,230.40487670898438,2606700,0.0,0.0
2024-07-19,230.43373176001992,232.00268797351066,228.94179575157247,229.58670043945312,2739300,0.0,0.0
2024-07-22,230.48185317064386,232.3588166955384,227.70972807514582,231.27114868164062,2308500,0.0,0.0
2024-07-23,232.06040036586998,232.91706641516444,228.62411598829047,229.384521484375,2211000,0.0,0.0
2024-07-24,228.7365192794333,231.25126765005035,223.86175085401942,224.0745391845703,2756800,1.15,0.0
2024-07-25,224.21962724638465,230.8547032098315,223.46518651072384,227.07290649414062,2142600,0.0,0.0
2024-07-26,228.50435565710336,234.56879284756252,228.33026418450066,231.0384521484375,1942500,0.0,0.0
2024-07-29,230.45818193010984,233.07932472015773,229.5489980220564,231.93801879882812,2082300,0.0,0.0
2024-07-30,232.31521358687652,234.43341534281842,230.48717908326577,233.48553466796875,1782500,0.0,0.0
2024-07-31,234.68486942653897,240.82668593251472,233.33077535457696,237.4607696533203,3054700,0.0,0.0
2024-08-01,238.7375016523266,240.13029257192431,231.1835605138193,233.44683837890625,2022800,0.0,0.0
2024-08-02,230.45813874128254,232.6343707590356,227.48878397074867,232.5376434326172,2258800,0.0,0.0
2024-08-05,228.5817348274543,233.08895656457733,225.10943937371894,229.24911499023438,3058000,0.0,0.0
2024-08-06,227.9434084140246,236.20342738435994,227.9434084140246,232.7601318359375,2319500,0.0,0.0
2024-08-07,233.7756992761097,235.3619301779229,223.52323629168956,223.99716186523438,3355400,0.0,0.0
2024-08-08,224.57747500088155,229.04600003221316,223.42648770286755,228.5817413330078,2084300,0.0,0.0
2024-08-09,228.04979612128915,229.9552095535819,226.61832302911398,228.09815979003906,1675500,0.0,0.0
2024-08-12,227.0535584832842,227.0535584832842,221.85962237936394,223.4942169189453,2592300,0.0,0.0
2024-08-13,221.29863694155895,229.02666982818252,220.1669979705877,228.44635009765625,2860800,0.0,0.0
2024-08-14,228.09816031821407,231.7929114346513,228.06914506860087,229.84881591796875,2098500,0.0,0.0
2024-08-15,234.33668536491317,234.97505036114342,230.44847964794258,232.18946838378906,3029400,0.0,0.0
2024-08-16,232.54733314281265,234.2206245516798,231.29963315695088,233.2437286376953,1725700,0.0,0.0
2024-08-19,234.31734062514707,235.55537379929467,232.27651777801756,235.2362060546875,2708600,0.0,0.0
2024-08-20,232.13140958181853,237.80895225178156,230.82566449951378,232.45059204101562,3910400,0.0,0.0
2024-08-21,233.5822648130567,234.74291907781515,231.98636704382878,234.42373657226562,2676500,0.0,0.0
2024-08-22,235.03309876540388,235.34261445692138,231.83162146868696,232.43128967285156,1979900,0.0,0.0
2024-08-23,233.72734929644196,242.99326483868128,232.9439080090906,241.87130737304688,2685400,0.0,0.0
2024-08-26,243.62197683075678,244.89869221167996,241.91966997816445,242.28721618652344,2790500,0.0,0.0
2024-08-27,241.66815583551633,241.73585315935446,239.51127216594543,240.4204559326172,1772500,0.0,0.0
2024-08-28,240.33341048962154,242.21947546496577,238.82455850934613,240.77833557128906,1372000,0.0,0.0
2024-08-29,241.80357189343098,242.5289826091113,238.3119277249491,238.67947387695312,1612900,0.0,0.0
2024-08-30,239.7240692962156,240.89439033023578,237.35438246292324,240.35275268554688,2586900,0.0,0.0
2024-09-03,239.0953578879388,241.26192310505385,235.63272912741047,237.41241455078125,2460200,0.0,0.0
2024-09-04,236.83210282130693,237.7799687378733,234.16259656793818,237.4027557373047,2094700,0.0,0.0
2024-09-05,238.27323945526604,238.27323945526604,233.6692901206044,236.10667419433594,2083100,0.0,0.0
2024-09-06,236.8224548329962,239.34688504027073,235.16851169366979,235.81654357910156,1889700,0.0,0.0
2024-09-09,237.20930015821182,237.683240464459,234.39470308523812,236.7063446044922,1823000,0.0,0.0
2024-09-10,236.45487315439823,240.23668448233553,234.65585402652277,239.26947021484375,2112900,0.0,0.0
2024-09-11,237.02552603017395,239.71438051311964,232.13142419802847,239.26947021484375,1841500,0.0,0.0
2024-09-12,240.43977874975744,243.93142266474277,239.40486721161886,243.78634643554688,2222400,0.0,0.0
2024-09-13,244.69555226008436,248.97063771585292,244.32800610157082,247.0362091064453,2118100,0.0,0.0
2024-09-16,248.62240771651494,249.66701562160537,245.88520441437444,248.2258758544922,1591300,0.0,0.0
2024-09-17,247.98407020713773,250.98241070178472,247.60684248985493,248.30323791503906,1343500,0.0,0.0
2024-09-18,248.69980891517966,253.3811224201211,247.1716086040257,248.21620178222656,1625200,0.0,0.0
2024-09-19,252.33653747179756,253.68094991776428,251.0404444140243,252.4429168701172,2261300,0.0,0.0
2024-09-20,250.77929494656377,252.9748605399964,249.4929130565165,251.61111450195312,4470300,0.0,0.0
2024-09-23,252.2494436087736,253.85502267225124,249.81207452766932,253.69061279296875,2131000,0.0,0.0
2024-09-24,256.6309446167709,259.30046539900235,254.81260661646346,257.31768798828125,3414100,0.0,0.0
2024-09-25,257.4241123295459,257.8593706259543,255.2672430609204,256.2828063964844,1815500,0.0,0.0
2024-09-26,257.41444638562535,257.98509932140536,250.78902205323445,256.90179443359375,2254500,0.0,0.0
2024-09-27,258.97166999823156,259.90018760908356,257.02755950069036,258.3816833496094,1852300,0.0,0.0
2024-09-30,259.6292691180724,262.3761535707167,258.31387213386154,261.9699401855469,2032800,0.0,0.0
