Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-06-20,458.8547853826249,464.4752926956091,457.00993836485907,463.1370544433594,5258100,0.0,0.0
2024-06-21,463.0606282200479,466.75026415598796,459.38053112657843,461.2922668457031,6368600,0.0,0.0
2024-06-24,467.28554364014525,469.22598338162555,463.1179738117356,468.35614013671875,5139800,0.0,0.0
2024-06-25,468.9869927503976,468.9869927503976,459.39007184282525,463.1179504394531,2916100,0.0,0.0
2024-06-26,463.1179747359297,465.92822855715315,460.22169630843683,462.67828369140625,3153100,0.0,0.0
2024-06-27,463.64371121459175,467.4002942150768,460.77610752703646,464.9723815917969,2991900,0.0,0.0
2024-06-28,474.4641275370803,486.9190846526262,467.8112953637344,486.7852783203125,22734200,0.0,0.0
2024-07-01,484.38601368241274,486.4506916566181,471.13769981139154,472.82000732421875,4523100,0.0,0.0
2024-07-02,472.4472212772215,476.4714164887574,471.61562097066445,476.2515563964844,3312000,0.0,0.0
2024-07-03,475.18101691182864,476.09864187226333,465.0488119532396,468.2701110839844,2239200,0.0,0.0
2024-07-05,467.4193527629598,468.05979702212977,463.11794767618414,466.4730529785156,3499000,0.0,0.0
2024-07-08,467.60097990959656,472.0840023066919,464.714269602637,467.7443542480469,3450600,0.0,0.0
2024-07-09,466.77894100369645,473.5369338004358,464.6378063238472,470.3921203613281,3056800,0.0,0.0
2024-07-10,469.2737355632491,479.3676971007417,468.48991697378455,478.8228454589844,3189800,0.0,0.0
2024-07-11,475.73544716643227,486.27866853033134,475.73544716643227,482.10150146484375,3535100,0.0,0.0
2024-07-12,484.54857159921215,491.8609552437625,481.21257277214755,488.9551086425781,3570600,0.0,0.0
2024-07-15,501.1041535337792,507.40334835044735,491.1248908225301,492.6256103515625,5128000,0.0,0.0
2024-07-16,510.3378427712101,525.650805285406,503.86659908305177,524.6471557617188,11062000,0.0,0.0
2024-07-17,529.55076027775,548.2953138011353,526.9699055539367,547.9799194335938,10330800,0.0,0.0
2024-07-18,539.5873003641409,555.8370507736898,536.6432116013699,539.4343872070312,6834800,0.0,0.0
2024-07-19,542.0918420496112,544.7491830276584,536.7580824062456,540.380859375,4290400,0.0,0.0
2024-07-22,538.2013420700338,539.3483950747878,532.494839425153,533.880859375,3377300,0.0,0.0
2024-07-23,534.1293765150359,534.1772165809156,528.4133054240308,530.2199096679688,2785600,0.0,0.0
2024-07-24,535.2859029561188,536.3660381061923,528.613965192135,535.0469360351562,3156200,0.0,0.0
2024-07-25,537.1976616276238,544.7394719823361,533.928610342673,534.9800415039062,3102900,0.0,0.0
2024-07-26,535.2860184789591,553.57177588468,535.2860184789591,544.5770263671875,3201900,0.0,0.0
2024-07-29,540.7440165942087,546.1350668704899,536.968326959123,541.7380981445312,2965000,0.0,0.0
2024-07-30,541.881558076396,553.8585530171277,541.0116855804448,550.8953857421875,4139100,0.0,0.0
2024-07-31,540.4859128625338,555.2636506467152,537.5036098741377,550.7327880859375,4713200,0.0,0.0
2024-08-01,551.7269190954652,561.5723460039061,542.0726190783878,547.492431640625,3680800,0.0,0.0
2024-08-02,556.630551541595,565.4340572614902,549.8629907049781,563.799560546875,5094000,0.0,0.0
2024-08-05,556.4297848354996,560.922375371848,541.7476687495786,544.8064575195312,4587400,0.0,0.0
2024-08-06,543.1336788985003,552.0328060328302,537.7043566429662,543.2674560546875,3216500,0.0,0.0
2024-08-07,541.604296934662,546.4219084902983,532.4471244565867,541.0977172851562,4320700,0.0,0.0
2024-08-08,539.4631421119682,547.1865707940696,539.4631421119682,541.2506103515625,2860800,0.0,0.0
2024-08-09,539.6255319574644,540.9542020663782,533.0205118011261,534.1006469726562,2976700,0.0,0.0
2024-08-12,537.5036297160539,543.8888201111004,536.2896588472145,540.342529296875,2532400,0.0,0.0
2024-08-13,544.8350231960388,550.3216944816255,543.88872350385,548.8974609375,2369400,0.0,0.0
2024-08-14,549.8534031242244,555.4739106516726,547.9703714964564,554.087890625,2344400,0.0,0.0
2024-08-15,554.0878673120516,557.595944118773,548.1997473766057,554.030517578125,2751800,0.0,0.0
2024-08-16,555.2827938426822,555.9806171192708,548.7637674148972,552.185791015625,2728900,0.0,0.0
