Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-06-20,157.23766439071002,157.60762731111345,155.91049129103635,156.33555603027344,5302500,0.0,0.0
2024-06-21,156.74921619287147,157.14633963313634,155.10245263704195,157.00543212890625,12455000,0.0,0.0
2024-06-24,157.00582125903844,158.14642872636534,155.8600789636392,156.69448852539062,4047500,0.0,0.0
2024-06-25,158.09843941900183,158.7332964531999,156.883436802517,158.00042724609375,3752500,0.0,0.0
2024-06-26,156.96922594411322,157.756791505964,156.29854529121314,156.74093627929688,4377500,0.0,0.0
2024-06-27,159.00880068352964,159.00880068352964,157.43445017612078,157.80442810058594,4212500,0.0,0.0
2024-06-28,157.1982711356621,158.6809151960901,155.5058498315653,155.91912841796875,8030000,0.0,0.0
2024-07-01,156.54297067424136,156.54297067424136,152.30838853637238,152.9034881591797,5777500,0.0,0.0
2024-07-02,152.5858482988047,154.37941975673368,152.5858482988047,154.13658142089844,4905000,0.0,0.0
2024-07-03,153.99095323041757,154.95367351091414,153.57533240721293,154.16334533691406,1985000,0.0,0.0
2024-07-05,154.95405421209622,155.0634620854352,153.69536069576597,154.6852264404297,5042500,0.0,0.0
2024-07-08,154.78993534023675,157.5446508014247,154.05118063495104,156.82949829101562,3987500,0.0,0.0
2024-07-09,157.62457839647635,158.2310888290827,156.4072034361687,156.54811096191406,3770000,0.0,0.0
2024-07-10,156.65202934019266,157.07592303414793,155.466544330193,157.04286193847656,3975000,0.0,0.0
2024-07-11,157.39467634377561,157.39467634377561,154.52700991110675,154.93162536621094,5735000,0.0,0.0
2024-07-12,155.46653207068277,159.46890619535077,155.46653207068277,158.47471618652344,4940000,0.0,0.0
2024-07-15,158.79703954329108,161.37030939452225,157.9563389653703,160.89801025390625,3637500,0.0,0.0
2024-07-16,162.03941121970655,163.1146924762952,161.78909580863885,162.12167358398438,3610000,0.0,0.0
2024-07-17,161.4521740599368,161.7131194358935,157.01370040974567,157.0266876220703,5670000,0.0,0.0
2024-07-18,157.51867986920112,158.32947233484637,153.70128000326713,154.70138549804688,4740000,0.0,0.0
2024-07-19,154.99776772350006,156.52841216941223,154.70138900355434,156.1454620361328,4002500,0.0,0.0
2024-07-22,156.48983071052987,156.82990049623552,153.6953729332622,153.86856079101562,6365000,0.0,0.0
2024-07-23,153.77409092392313,155.2850667647247,153.56273717817393,154.2542724609375,5212500,0.0,0.0
2024-07-24,152.71142980250158,153.14713958670558,149.56274346913344,149.7902374267578,8052500,0.0,0.0
2024-07-25,149.01171395666788,149.01171395666788,143.3853978428517,144.0478057861328,12062500,0.0,0.0
2024-07-26,145.5694118432962,146.1873329506039,144.01906886488518,145.66583251953125,5850000,0.0,0.0
2024-07-29,147.0083456196491,149.548148773616,146.2282571094685,147.79669189453125,5615000,0.0,0.0
2024-07-30,147.67785514031075,149.22582599765218,144.9873096984,146.45301818847656,5492500,0.0,0.0
2024-07-31,148.618123907627,148.618123907627,145.63160521616908,146.2176513671875,9827500,0.0,0.0
2024-08-01,146.26565752479232,147.53221859276306,142.92804885356065,144.217041015625,13797500,0.0,0.0
2024-08-02,130.33957291269726,136.39963140013847,129.53115272658894,130.99057006835938,20037500,0.0,0.0
2024-08-05,126.14435010822838,133.32139934623933,125.16038479534966,133.1671142578125,16630000,0.0,0.0
2024-08-06,134.40968963989727,137.39227492394028,133.2875642197716,134.49154663085938,10732500,0.0,0.0
2024-08-07,133.92360644382376,136.66650626997645,129.5606979233833,130.10462951660156,10492500,0.0,0.0
2024-08-08,130.51593645581636,134.19634791713017,130.19436401393483,133.61660766601562,9432500,0.0,0.0
2024-08-09,133.61660790962543,136.0233865117374,133.61660790962543,135.51368713378906,6295000,0.0,0.0
