Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-06-20,159.7565940266058,160.14562289455486,158.32384718092766,159.0924072265625,8483600,0.0,0.0
2024-06-21,158.9121257443038,160.2405138300542,158.627470120344,159.6522216796875,14682000,0.0,0.0
2024-06-24,160.12664310894672,160.74339937472035,158.91212595805848,159.83250427246094,7565200,0.0,0.0
2024-06-25,160.0032999003168,160.26897461631228,157.41294970208145,158.31436157226562,7968200,0.0,0.0
2024-06-26,157.5552782085744,159.22523556523683,157.18523026393163,158.88365173339844,5164000,0.0,0.0
2024-06-27,158.9216331790122,159.50042767455133,157.03343141988248,158.09613037109375,5007000,0.0,0.0
2024-06-28,157.5078294742407,158.68439919571304,156.1604750799758,156.4830780029297,9253100,0.0,0.0
2024-07-01,157.1188028213239,157.70709492932937,153.90222780202302,154.3956298828125,7638600,0.0,0.0
2024-07-02,154.26280952411315,155.64811141367514,153.4373212135086,155.51527404785156,5449200,0.0,0.0
2024-07-03,154.86057488253167,155.80941728503228,154.64233070566254,155.4488525390625,2980500,0.0,0.0
2024-07-05,155.61964772130187,157.15678236222655,155.13574327552556,156.75827026367188,6509200,0.0,0.0
2024-07-08,157.46038885992536,158.14355652655024,157.14726913954016,158.00123596191406,5144500,0.0,0.0
2024-07-09,158.10560467387884,158.22894433363587,156.69182436684602,157.1852264404297,4393100,0.0,0.0
2024-07-10,157.41293993711122,158.38076318716315,157.07135611228026,158.26690673828125,5037100,0.0,0.0
2024-07-11,157.79249485029888,158.10561458133748,156.35025034077788,157.0713653564453,5831500,0.0,0.0
2024-07-12,157.716591432066,159.06394595860377,157.52682583982724,158.08663940429688,4684600,0.0,0.0
2024-07-15,157.95377272422758,158.09609327244397,156.04660498720813,156.16046142578125,5752500,0.0,0.0
2024-07-16,156.47360853671617,158.5231116593726,156.18895291220502,158.40924072265625,6378300,0.0,0.0
2024-07-17,159.16831979968336,161.46451677416525,158.76980771103973,160.77186584472656,7982300,0.0,0.0
2024-07-18,160.16462772546652,162.17616932846062,159.6712255382117,159.8230438232422,5926300,0.0,0.0
2024-07-19,160.3356053104949,161.35696522143925,159.53378760307388,160.32606506347656,6597100,1.007,0.0
2024-07-22,160.29741207406167,161.03241890753281,160.07786987480856,160.60287475585938,6383000,0.0,0.0
2024-07-23,160.46926535200524,160.76517327127146,158.76062870595274,159.04698181152344,4863400,0.0,0.0
2024-07-24,158.76060711949998,160.63151512607942,158.0542355695188,160.36424255371094,5907000,0.0,0.0
2024-07-25,160.66971204596277,162.35925347167932,159.28560419407748,159.31423950195312,7338300,0.0,0.0
2024-07-26,159.6483508038091,161.6242746032909,159.43834881839757,161.42381286621094,5581600,0.0,0.0
2024-07-29,161.17562746038095,162.7888032656062,160.4692558561553,162.20652770996094,6797800,0.0,0.0
2024-07-30,154.43649186049203,154.99968689683195,150.8569327498577,154.3505859375,15746300,0.0,0.0
2024-07-31,153.50103847353168,155.4578670420047,151.9737686523616,153.45330810546875,9660900,0.0,0.0
2024-08-01,153.56787675559985,158.7510718122235,153.3769552673679,158.1592559814453,12532700,0.0,0.0
2024-08-02,159.8296920687001,162.60743324435785,157.64376663133254,162.34970092773438,11899000,0.0,0.0
2024-08-05,163.11335957890677,163.11335957890677,159.09470134314907,160.42152404785156,10338800,0.0,0.0
2024-08-06,160.26881336563633,162.58837561876408,160.2210975553141,160.45018005371094,7454900,0.0,0.0
2024-08-07,160.90834147327172,163.91516517566004,160.3737817667189,162.2924346923828,8385500,0.0,0.0
2024-08-08,161.7197122134919,163.76244677358724,161.31880332583924,163.1038055419922,6386900,0.0,0.0
2024-08-09,162.3878942116526,163.4760796431185,161.9392549529087,162.78880310058594,5377300,0.0,0.0
2024-08-12,161.70061118477824,161.93924845899738,158.64605698782603,159.22833251953125,7208100,0.0,0.0
2024-08-13,159.73425380881284,160.1733528335209,158.8942604478171,159.6865234375,3770000,0.0,0.0
2024-08-14,158.9324181645756,161.76743003219175,158.2833317964308,161.1278839111328,5476600,0.0,0.0
2024-08-15,161.7578859858638,161.96787337366007,159.1710516906024,160.28787231445312,9491400,0.0,0.0
2024-08-16,160.19243596352163,160.69834581817463,159.2187918092639,160.25924682617188,5640800,0.0,0.0
2024-08-19,160.53607019520683,161.547904536211,160.5265299471342,160.76516723632812,3885300,0.0,0.0
2024-08-20,161.09924354571564,162.80787989724627,160.46923769152625,162.66470336914062,4513600,0.0,0.0
2024-08-21,162.45470647350447,164.0774369586728,161.89152602507912,162.4260711669922,4082000,0.0,0.0
2024-08-22,163.11338112477375,163.45701943869875,161.4524601799253,162.4165496826172,4097300,0.0,0.0
2024-08-23,162.32108702039744,162.37835763936087,160.60289562517335,161.4810791015625,4771300,0.0,0.0
2024-08-26,161.0324375669232,163.19926820055898,161.0324375669232,162.60745239257812,6472400,0.0,0.0
